ID	source	context	sentence	sup_idx_sent	sup_idx_context	title	sup_class	superlative	turn_idx (only for dialogue)	target	CS	Anchor	Property	Orientation	Implicit	Amount	Rank
05-075_Ranunculaceae_6	wikipedia	The family name is derived from the genus Ranunculus.  Members include  (anemones),  (buttercups),  (aconite), and .  According to the database of the Royal Botanic Gardens, Kew, the family consists of 51 to 88 genera, totalling about 2500 species.  Numerically the most important genera are  (600 species),  (365 species),  (330 species),  (325 species), and  (300 species).  Ranunculaceae can be found worldwide, but are most common in the temperate and cold areas of the northern hemisphere.	Ranunculaceae can be found worldwide, but are most common in the temperate and cold areas of the northern hemisphere.	46:57	423:434	Ranunculaceae	FREE	most common		FIND(e, STIMULUS=Ranunculaceae, LOCATION=the temperate and cold areas of the northern hemisphere)	FIND(e, STIMULUS=Ranunculaceae, LOCATION=worldwide)	#0=e	frequency	positive	n		
05-075_Ranunculaceae_20	wikipedia	 and  are now placed in Circaeasteraceae.  Ranunculaceae are mostly herbaceous plants, but with some woody climbers (such as ) and subshrubs (e.g.  ).   are very often more or less palmately compound.  The flowers of the Ranunculaceae show what are considered in some systems of plant taxonomy to be typically primitive characteristics, although the classification scheme of the Angiosperm Phylogeny Group considers this family to be among the most basal of the derived Eudicots clade.	The flowers of the Ranunculaceae show what are considered in some systems of plant taxonomy to be typically primitive characteristics, although the classification scheme of the Angiosperm Phylogeny Group considers this family to be among the most basal of the derived Eudicots clade.	242:252	444:454	Ranunculaceae	ISA-2	most basal		family OF=Ranunculaceae	derived Eudicots clade	Eudicots clade	basal	positive	n		
05-075_Ranunculaceae_26	wikipedia	g.  , ) they are zygomorphic or bilaterally symmetrical.  The perianth is made of one or, more commonly, two whorls, often not clearly differentiated into a true calyx and corolla, the sepals may be joined and the petals are often evolved into spurred nectaries or otherwise modified.  The flowers have many free stamens arranged in spirals and usually many free pistils.  Flowers are most often grouped in terminal racemes, panicles or cymes.	Flowers are most often grouped in terminal racemes, panicles or cymes.	12:22	385:395	Ranunculaceae	ADV	most often		GROUP(e, THEME=flowers, GOAL=terminal racemes | panicles | cymes)	GROUP(e, THEME=flowers, GOAL=types)	#0=e	frequency	positive	y		
05-075_Ranunculaceae_27	wikipedia	, ) they are zygomorphic or bilaterally symmetrical.  The perianth is made of one or, more commonly, two whorls, often not clearly differentiated into a true calyx and corolla, the sepals may be joined and the petals are often evolved into spurred nectaries or otherwise modified.  The flowers have many free stamens arranged in spirals and usually many free pistils.  Flowers are most often grouped in terminal racemes, panicles or cymes.  The fruit is most commonly a follicle (e.g. Helleborus, Nigella) or an achene (e.g. Ranunculus, Clematis).	The fruit is most commonly a follicle (e.g. Helleborus, Nigella) or an achene (e.g. Ranunculus, Clematis).	13:26	454:467	Ranunculaceae	ADV	most commonly		BE(e, PIVOT=fruit, THEME=a follicle (e.g. Helleborus, Nigella) or an achene (e.g. Ranunculus, Clematis))	BE(e, PIVOT=fruit, THEME=forms)	#0=e	frequency	positive	y		
05-077_Science_Service_18	wikipedia	With 8 years of success with the talent search, Science Service decided in 1950 to boost the National Science Fair, which soon became the International Science and Engineering Fair.  In 1953, Science Service began its Interlingua Division, which made science literature available to a large audience by translating it into Interlingua.  Science News-Letter was renamed Science News in 1966.  Both the Science Talent Search and the International Science and Engineering Fair received title sponsorship from Intel in 1998.  The Discovery Channel's Young Scientist Challenge began in 1999 as Science Service's newest innovation.	The Discovery Channel's Young Scientist Challenge began in 1999 as Science Service's newest innovation.	85:91	607:613	Science Service	ISA-2	newest		The Discovery Channel's Young Scientist Challenge	innovations OF=Science Service	innovations	recency	positive	n		
05-079_Scientist_1	wikipedia	A scientist, in the broadest sense, refers to any person that engages in a systematic activity to acquire knowledge or an individual that engages in such practices and traditions that are linked to schools of thought or philosophy.	A scientist, in the broadest sense, refers to any person that engages in a systematic activity to acquire knowledge or an individual that engages in such practices and traditions that are linked to schools of thought or philosophy.	20:28	24:32	Scientist	DEF	broadest		any person that engages in a systematic activity to acquire knowledge | an individual that engages in such practices and traditions that are linked to schools of thought or philosophy	senses OF=scientist	senses	specificity	negative	n		
05-079_Scientist_14	wikipedia	As a profession, the scientist of today is widely recognised.  Scientists include theoreticians who mainly develop new models to explain existing data, and experimentalists who mainly test models by making measurements — though in practice the division between these activities is not clear-cut, and many scientists perform both tasks.  Mathematics is often grouped with the sciences.  Like other scientists, mathematicians start with hunches (hypotheses) and then conduct symbolic or computational experiments to test them.  Some of the greatest physicists have also been creative mathematicians.	Some of the greatest physicists have also been creative mathematicians.	12:20	538:546	Scientist	DEF	greatest		the greatest physicists	physicists	physicists	quality	positive	n		
05-079_Scientist_15	wikipedia	Scientists include theoreticians who mainly develop new models to explain existing data, and experimentalists who mainly test models by making measurements — though in practice the division between these activities is not clear-cut, and many scientists perform both tasks.  Mathematics is often grouped with the sciences.  Like other scientists, mathematicians start with hunches (hypotheses) and then conduct symbolic or computational experiments to test them.  Some of the greatest physicists have also been creative mathematicians.  There is a continuum from the most theoretical to the most empirical scientists with no distinct boundaries.	There is a continuum from the most theoretical to the most empirical scientists with no distinct boundaries.	54:68	590:604	Scientist	DEF	most empirical		the most theoretical scientist	scientists	scientists	theory	positive	n		
05-080_Seiche_14	wikipedia	The impulse is reflected back from the end of the basin, generating interference.  Repeated reflections produce standing waves with one or more nodes, or points, that experience no vertical motion.  The frequency of the oscillation is determined by the size of the basin, its depth and contours, and the water temperature.  The length of the lake is an exact multiple of the distance between nodes.  The longest natural period for a seiche in an enclosed rectangular body of water is usually represented by the Merian formula: #FORMULA# where L is the length, h the average depth of the body of water, and g the acceleration of gravity.	The longest natural period for a seiche in an enclosed rectangular body of water is usually represented by the Merian formula: #FORMULA# where L is the length, h the average depth of the body of water, and g the acceleration of gravity.	4:11	404:411	Seiche	DEF	longest		the longest natural period	periods, FOR=seiche, LOCATION=eclosed rectangular body of water	periods	duration	positive	n		
05-082_Siberian_natural_resources_12	wikipedia	The south sector of the Trans-Siberian Railway became a great industrial center as a result of the activity surrounding the coalfields.  These ancient reserves of 13,000,000,000 tonnes grew to 450,658,000,000 tonnes.  In 1937, the 50 mines in this area produced a total of 17,300,000 tonnes.  The coal production of this zone was comparable with that of all of British India, and half the coal produced by Japan.  The Kuznets coal had a high energy content and low sulphur content, making it the best coal in the USSR.	The Kuznets coal had a high energy content and low sulphur content, making it the best coal in the USSR.	82:86	496:500	Siberian natural resources	ISA-2	best		The Kuznets coal	coals, LOCATION=USSR	coals	quality	positive	n		
05-082_Siberian_natural_resources_26	wikipedia	The other sources are in Stalinsk (Kuznets), Lenin-Kuznets, Kemerovo, Anzhero-Sudzhensk, Chernogorsk, and Cheremkhovo.  The Siberian petroleum sources follow (in metric tonnes - 1 metric tonne of petroleum is equivalent to 5 or 10 barrels, or 42 gallons, depending on the density)  Emba: 1,190,400,000 * Perm-Kama: 3,54,000,000 * Other Zones at West Urals and Volga: 471,500,000 * Sakhalin: 339,800,000 * Central Asia: 427,100,000  Table of Total production (for 45 oil well areas)  The most important Siberian petroleum zones are the Central Urals, Sakhalin Island, Nordvyl, on the Arctic Siberian coast and the Kamchatka peninsula.	The most important Siberian petroleum zones are the Central Urals, Sakhalin Island, Nordvyl, on the Arctic Siberian coast and the Kamchatka peninsula.	4:18	487:501	Siberian natural resources	ISA-1	most important		the Central Urals & Sakhalin Island & Nordvyl, on the Arctic Siberian coast & the Kamchatka peninsula	petrolium zones, LOCATION=Siberia	petrolium zones	importance	positive	n		
05-082_Siberian_natural_resources_28	wikipedia	Emba: 1,190,400,000 * Perm-Kama: 3,54,000,000 * Other Zones at West Urals and Volga: 471,500,000 * Sakhalin: 339,800,000 * Central Asia: 427,100,000  Table of Total production (for 45 oil well areas)  The most important Siberian petroleum zones are the Central Urals, Sakhalin Island, Nordvyl, on the Arctic Siberian coast and the Kamchatka peninsula.  From the Caspian Sea there is one oil pipeline, which continues to the petrol camps of Emba at Orsk and ends in Omsk, in western Siberia.  Sakhalin Island's are the most important oil reserves in the Russian Far East.	Sakhalin Island's are the most important oil reserves in the Russian Far East.	26:40	518:532	Siberian natural resources	ISA-1	most important		Sakhalin Island's	oil reserves, LOCATION=Russian Far East	oil reserves	importance	positive	n		
05-082_Siberian_natural_resources_46	wikipedia	The new plan proposed was on a gigantic scale, in Angara river if planned the construction of a powerplant with production of 9 GW, and four other powerplants in high Yenisei produced in the future about 4 GW more.  Iron sources were more assorted and varied.  In Siberia they are found in Magnitogorsk, Nizhni Tagil, deposits in the south of Kuznetsk, the Angara River reserves and Russian Far East mines.  The mines of the Urals were known from 1702 : Magnitogorsk with annual extraction of 6,000,000 tonnes in 1931, minerals being magnetite and secondarily martite, with 55% or 66% of iron content.  The other and oldest center was in Ninshi-Tagil.	The other and oldest center was in Ninshi-Tagil.	14:20	617:623	Siberian natural resources	DEF	oldest		the oldest center, LOCATION=Ninshi-Tagil	centers OF=mines, LOCATION=Siberia	centers	age	positive	y		
05-082_Siberian_natural_resources_70	wikipedia	Lead and zinc : the sources stay in the Siberian areas of Ridder Mine in Altai, Transbaikalia and Maritime Province.  The total production of lead and zinc in 1936 were 55,000 and 63,000 tonnes respectively. *  Aluminum : the sources of these material stay in North Urals, in Khabakovsk ancient, Nadezhdinsk, and south Urals in Kamensk.  The USSR has a total production of aluminum in 1939 of 60,000 tonnes. *  Nickel: their most important deposits are in Norilsk, near low Yenisei.	Nickel: their most important deposits are in Norilsk, near low Yenisei.	14:28	425:439	Siberian natural resources	DEF	most important		their most important deposists, LOCATION=Norilsk, near low Yenisei	nickel deposits, LOCATION=Siberia	deposits	importance	positive	y		
05-082_Siberian_natural_resources_72	wikipedia	Aluminum : the sources of these material stay in North Urals, in Khabakovsk ancient, Nadezhdinsk, and south Urals in Kamensk.  The USSR has a total production of aluminum in 1939 of 60,000 tonnes. *  Nickel : their most important deposits are in Norilsk, near low Yenisei.  The local production was 3,000 tonnes in 1938. *  Gold: these if most abundant of minerals in the Urals and Siberia from more ancient times.	Gold: these if most abundant of minerals in the Urals and Siberia from more ancient times.	15:28	339:352	Siberian natural resources	DEF	most abundant		gold	minerals, LOCATION=Urals & Siberia, TIME=from more ancient times	minerals	abundance	positive	n		
05-082_Siberian_natural_resources_111	wikipedia	"This metal is mostly found Siberia; currently, the principal mining districts are in the Olekma-Vitim region, in the Lena Valley.  During the period 1910-1914, the Siberian gold mines extracted an average of 46,655 kg and employed 57,000 workers.  The exploited deposits are placer gold.  The British Company ""Lena Goldfields"" owned and operated much of the gold production until the revolution, and secured compensation from the Soviet government in 1935.  Russia remains the second biggest gold producer in the world."	Russia remains the second biggest gold producer in the world.	19:33	477:491	Siberian natural resources	ISA-2	second biggest		PRODUCE(e, AGENT=Russia, RESULT=gold)	PRODUCE(e, AGENT=countries, RESULT=gold, LOCATION=world)	#0=e	amount	positive	y		second
05-084_Space_geostrategy_12	wikipedia	Because of the vast resources available to those who can control territory and locations in space, any state that could command space would exercise tremendous influence over all others.  Earth This area encompasses the physical Earth stopping just before the altitude at which unpowered orbit is possible.  Just as a coast is to the ocean, the atmosphere here is to space-Earth is the transition region between astrostrategy and geostrategy.  It is the crucial territory for transport, take-offs, landings, communication, production, and maintenance.  Earth Space Between the lowest possible orbit, and the geostationary orbit, this area is the operating region for all military and communications satellites and networks, including reconnaissance, navigation, and space-based weaponry.	Earth Space Between the lowest possible orbit, and the geostationary orbit, this area is the operating region for all military and communications satellites and networks, including reconnaissance, navigation, and space-based weaponry.	24:30	577:583	Space geostrategy	DEF	lowest		the lowest possible orbit	orbits OF=Earth Space	orbits	hight	negative	y		
05-084_Space_geostrategy_58	wikipedia	A U.S. group called the L-5 Society was created to advocate control of these points.  The location of Earth's Van Allen belts is of strategic importance, because these areas contain highly charged particles which can damage spacecraft travelling through them.  The Inner Belt ranges from 400-1,200 km, depending on latitude, and extends outward 10,000 km, with its most lethal area 3,500 km out.  The South Atlantic Anomaly can potentially disrupt satellites in polar orbits, but usually does not pose a problem for manned spaceflights.  The Outer Belt ranges from 10,000-84,000 km, with its most lethal area 16,000 km out.	The Outer Belt ranges from 10,000-84,000 km, with its most lethal area 16,000 km out.	54:65	592:603	Space geostrategy	DEF	most lethal		16,000 km out	areas OF=the Outer Belt OF=Earth's Van Allen belts	areas	lethality	positive	y	16,000 km out	
05-087_Stardust_(spacecraft)_19	wikipedia	In March-May 2000 and July-December 2002, the spacecraft angled itself into a dust stream believed to originate outside the solar system.  The reverse side of the aerogel collector then caught a sample of such particles.  The sample material capsule from Stardust returned to Earth at approximately 10:10 UTC on January 15, 2006 in Utah's Great Salt Lake desert, near the U.S. Army Dugway Proving Ground, to deliver the sample material.  The landing coordinates were 40°21.9′N, 113°31.25′W. Winds had blown the capsule a few miles off its ballistic trajectory, but it was within the target area.  On arrival, the capsule was travelling in a nearly flat trajectory, at 12.9 km/s (28,900 miles per hour), which is the fastest re-entry speed into Earth's atmosphere ever achieved by a man-made object.	On arrival, the capsule was travelling in a nearly flat trajectory, at 12.9 km/s (28,900 miles per hour), which is the fastest re-entry speed into Earth's atmosphere ever achieved by a man-made object.	119:126	716:723	Stardust (spacecraft)	ISA-1	fastest		ACHIEVE(e, AGENT=capsule FROM=Stardust, EVENTUALITY=12.9 km/s (28,900 miles per hour))	ACHIEVE(e, AGENT=man-made object, EVENTUALITY=re-entry speed INTO=Earth's atmosphere)	#2=EVENTUALITY	speed	positive	y	12.9 km/s (28,900 miles per hour)	
05-087_Stardust_(spacecraft)_31	wikipedia	On 19 March, 2006, Stardust scientists announced that they were considering the possibility of redirecting the spacecraft on a secondary mission to photograph Tempel 1, the comet that was impacted by the Deep Impact spacecraft in 2005.  This possibility is important because Deep Impact did not succeed in capturing a good image of the crater formed on Tempel 1, due to obscuring dust from the impact.  In July 3, 2007, this extended mission was approved, under the designation of New Exploration of Tempel 1 (NExT).  This investigation will provide the first look at the changes to a comet nucleus produced after its close approach to the sun.  NExT also will extend the mapping of Tempel 1, making it the most mapped comet nucleus to date.	NExT also will extend the mapping of Tempel 1, making it the most mapped comet nucleus to date.	61:72	707:718	Stardust (spacecraft)	ISA-2	most mapped		MAP(e, THEME=Tempel 1, TIME=to date)	MAP(e, THEME=comet nucleus, TIME=to date)	#1=THEME	frequency	positive	n		
05-087_Stardust_(spacecraft)_116	wikipedia	"According to the Houston Chronicle, the sample container was taken to a clean room facility which has ""a cleanliness factor 100 times that of a hospital operating room to ensure the star and comet dust is not contaminated by earthly grime.""  Johnson Space Center is also the home of most of the moon rock samples brought back by the Apollo missions.  NASA made a preliminary estimation of a million microscopic specks of dust embedded in Stardust's aerogel collector.  There are about 10 particles of 100 micrometers in size.  The largest is around a millimeter."	The largest is around a millimeter.	4:11	531:538	Stardust (spacecraft)	DEF	largest		the largest particle	particles OF=microscopic specks of dust FROM=moon	particles	size	positive	y	around a millimeter	
05-089_Subarctic_climate_19	wikipedia	Vegetation in a subarctic climate is generally of low diversity, as only hardy species can survive the long winters and make use of the short summers.  Trees are mostly limited to ferns and evergreen conifers, as few broadleaved trees are able to survive the very low temperatures in winter.  This type of forest is also known as taiga, a term which is sometimes applied to the climate found therein as well.  Even though the diversity may be low, numbers are high, and the taiga (boreal) forest is the largest forest biome on the planet, with most of the forests located in Russia and Canada.  Agricultural potential is generally poor, due to the natural infertility of soils and the prevalence of swamps and lakes left by departing ice sheets, and short growing seasons prohibit all but the hardiest of crops.	Agricultural potential is generally poor, due to the natural infertility of soils and the prevalence of swamps and lakes left by departing ice sheets, and short growing seasons prohibit all but the hardiest of crops.	198:206	793:801	Subarctic climate	DEF	hardiest		the hardiest of crops	crops	crops	hardiness	positive	n		
05-089_Subarctic_climate_24	wikipedia	In some areas, ice has scoured rock surfaces bare, entirely stripping off the overburden.  Elsewhere rock basins have been formed and stream courses dammed, creating countless lakes.  There is very little precipitation, no more than 15 inches (38 cm) over an entire year and, away from the coasts, occurs mostly in the warmer months.  Low precipitation, by the standards of more temperate regions with longer and warmer winters, is typically sufficient in view of the very low evapotranspiration to allow a water-sogged terrain in many areas of subarctic climate.  Should one go poleward or even toward a polar sea, one finds that the warmest month has an average temperature of less than 10°C (50°F), and the subarctic climate grades into a tundra climate even less suitable for trees.	Should one go poleward or even toward a polar sea, one finds that the warmest month has an average temperature of less than 10°C (50°F), and the subarctic climate grades into a tundra climate even less suitable for trees.	70:77	635:642	Subarctic climate	DEF	warmest		the warmest month	months LOCATION=poleward | polar sea	months	temperature	positive	n	less than 10°C (50°F)	
05-091_Victoria_Stilwell_7	wikipedia	"Stilwell trained as an actress, including playing a nurse in ITV1 's "" in 1994, and an extra in "" in 1992, as well as London 's West End theatre, commercials and voiceovers.  In order to supplement her income as an actress, Stilwell's veterinary nurse sister suggested Victoria start a dog walking agency.  Within a month Victoria was walking 20 dogs per day - 10 in the morning, 10 in the afternoon.  After meeting other dog trainers, Stilwell attended seminars and training sessions and read many articles and books.  Stilwell expanded her career focus into dog training and behaviour counselling by working with some of Britain’s most respected dog trainers and behaviourists."	Stilwell expanded her career focus into dog training and behaviour counselling by working with some of Britain’s most respected dog trainers and behaviourists.	113:127	633:647	Victoria Stilwell	DEF	most respected		"RESPECT(e, STIMULUS=""most respected dog trainers & behaviourists"", LOCATION=Britain)"	RESPECT(e, STIMULUS=dog trainers & behaviourists, LOCATION=Britain)	#1=e	amount	positive	n		
05-091_Victoria_Stilwell_22	wikipedia	"The show is produced by UK production company Ricochet, and airs in the US on Animal Planet and in the UK on terrestrial Channel 4, Channel 10 in Australia as well as in over 20 other countries.  Stilwell has also written a companion book for the series, titled “It’s Me or the Dog: How to Have the Perfect Pet,” published by Hyperion in the US and Harper Collins worldwide.  Her second book, ""Fat Dog Slim: How to Have a Healthy, Happy Pet"" was released in the UK in February, 2007.  After its first season in the UK, 'It's Me or the Dog' was nominated in the ' Best Factual Entertainment' category in the UK's prestigious TV Quick Awards.  Her first book, 'It's Me or the Dog: How to Have the Perfect Pet' was voted one of the 50 greatest dog books ever written by Dogs Today magazine."	Her first book, 'It's Me or the Dog: How to Have the Perfect Pet' was voted one of the 50 greatest dog books ever written by Dogs Today magazine.	90:98	732:740	Victoria Stilwell	ISA-2	greatest		WRITE(e, AGENT=Victoria Stilwell, RESULT=It's Me or the Dog)	WRITE(e, AGENT=writers, RESULT=dog books)	#2=RESULT	greatness	positive	y		
05-092_Wallpaper_group_26	wikipedia	"a colored tiling is equivalent with one in black and white with the colors coded radially in a circularly symmetric ""bar code"" in the centre of mass of each tile.  The types of transformations that are relevant here are called Euclidean plane isometries.  For example: * If we shift example B one 'unit' to the right, so that each square covers the square that was originally adjacent to it, then the resulting pattern is exactly the same as the pattern we started with.  This type of symmetry is called a .  Examples A and C are similar, except that the smallest possible shifts are in diagonal directions."	Examples A and C are similar, except that the smallest possible shifts are in diagonal directions.	46:54	555:563	Wallpaper group	DEF	smallest		shifts in diagonal directions	shifts OF=Examples A and C	#0=shifts	size	negative	y		
05-092_Wallpaper_group_68	wikipedia	Crystallography has 230 space groups to distinguish, far more than the 17 wallpaper groups, but many of the symmetries in the groups are the same.  Thus we can use a similar notation for both kinds of groups, that of Carl Hermann and Charles-Victor Mauguin.  An example of a full wallpaper name in Hermann-Mauguin style is , with four letters or digits; more usual is a shortened name like  or .  For wallpaper groups the full notation begins with either p or c, for a  or a face-centred cell ; these are explained below.  This is followed by a digit, n, indicating the highest order of rotational symmetry: 1-fold (none), 2-fold, 3-fold, 4-fold, or 6-fold.	This is followed by a digit, n, indicating the highest order of rotational symmetry: 1-fold (none), 2-fold, 3-fold, 4-fold, or 6-fold.	47:54	570:577	Wallpaper group	DEF	highest		digit n	orders of rotational symmetry	#0=orders	amount	positive	n		
05-092_Wallpaper_group_135	wikipedia	See also this overview with diagrams.  Each group in the following list has two cell structure diagrams, which are interpreted as follows:  On the right-hand side diagrams, different equivalence classes of symmetry elements are colored (and rotated) differently.  The brown or yellow area indicates a fundamental domain, i.e.  the smallest part of the pattern which is repeated.	the smallest part of the pattern which is repeated.	4:12	331:339	Wallpaper group	DEF	smallest		fundamental domain	parts OF=pattern	#0=parts	size	negative	n		
